id,name,TypeNumber,Frequency(Hz),relativePermittivity,conductivity,relativePermeability,magnetoconductivity,ColorIndex
0,Vacuum(≈ air)[真空（≈ 空气）],0,1000000000,1,0,1,0,9
1,Concrete[水泥],1,1000000000,5.24,0.0462,1,0,10
2,Brick[砖],2,1000000000,3.91,0.0238,1,0,11
3,Plasterboard[石膏板],3,1000000000,2.73,0.0085,1,0,12
4,Wood,4,1000000000,1.99,0.0047,1,0,13
5,Glass[玻璃],5,1000000000,6.31,0.0036,1,0,14
7,Ceiling board[天花板],6,1000000000,1.48,0.0011,1,0,16
9,Chipboard[纤维板],7,1000000000,2.58,0.0217,1,0,18
10,Plywood[胶合板],8,1000000000,2.71,0.33,1,0,19
11,Marble,9,1000000000,7.074,0.0055,1,0,20
13,Metal[金属],10,1000000000,1,10000000,1,0,22
14,Very dry ground[非常干燥的地面],11,1000000000,3,0.00015,1,0,23
15,Medium dry ground[中等干燥的地面],12,1000000000,15,0.035,1,0,24
16,Wet ground[潮湿地面],27,1000000000,30,0.15,1,0,25
0,Vacuum(≈ air)[真空（≈ 空气）],0,2000000000,1,0,1,0,9
1,Concrete[水泥],1,2000000000,5.24,0.079452513,1,0,10
2,Brick[砖],2,2000000000,3.91,0.026591434,1,0,11
3,Plasterboard[石膏板],3,2000000000,2.73,0.016301839,1,0,12
4,Wood[木材],4,2000000000,1.99,0.009879656,1,0,13
5,Glass[玻璃],5,2000000000,6.31,0.009109658,1,0,14
7,Ceiling board[天花板],6,2000000000,1.48,0.002317394,1,0,16
9,Chipboard[纤维板],7,2000000000,2.58,0.03726174,1,0,18
10,Plywood[胶合板],8,2000000000,2.71,0.33,1,0,19
11,Marble[大理石],9,2000000000,7.074,0.010451453,1,0,20
13,Metal[金属],10,2000000000,1,10000000,1,0,22
14,Very dry ground[非常干燥的地面],11,2000000000,3,0.000860373,1,0,23
15,Medium dry ground[中等干燥的地面],12,2000000000,13.99549487,0.10832955,1,0,24
16,Wet ground[潮湿地面],41,2000000000,22.7357485,0.369343324,1,0,25
0,Vacuum(≈ air)[真空（≈ 空气）],0,3000000000,1,0,1,0,9
1,Concrete[水泥],1,3000000000,5.24,0.1092,1,0,10
2,Brick[砖],2,3000000000,3.91,0.0283,1,0,11
3,Plasterboard[石膏板],3,3000000000,2.73,0.0238,1,0,12
4,Wood[木材],4,3000000000,1.99,0.0153,1,0,13
5,Glass[玻璃],5,3000000000,6.31,0.0155,1,0,14
7,Ceiling board[天花板],6,3000000000,1.48,0.0036,1,0,16
9,Chipboard[纤维板],7,3000000000,2.58,0.0511,1,0,18
10,Plywood[胶合板],8,3000000000,2.71,0.33,1,0,19
11,Marble[大理石],9,3000000000,7.074,0.0152,1,0,20
13,Metal[金属],10,3000000000,1,10000000,1,0,22
14,Very dry ground[非常干燥的地面],11,3000000000,3,0.0024,1,0,23
15,Medium dry ground[中等干燥的地面],12,3000000000,13.7,0.2095,1,0,24
16,Wet ground[潮湿地面],55,3000000000,19.8,0.6266,1,0,25
0,Vacuum(≈ air)[真空（≈ 空气）],0,4000000000,1,0,1,0,9
1,Concrete[水泥],1,4000000000,5.24,0.136638568,1,0,10
2,Brick[砖],2,4000000000,3.91,0.029710267,1,0,11
3,Plasterboard[石膏板],3,4000000000,2.73,0.031264702,1,0,12
4,Wood[木材],4,4000000000,1.99,0.020767574,1,0,13
5,Glass[玻璃],5,4000000000,6.31,0.023051631,1,0,14
7,Ceiling board[天花板],6,4000000000,1.48,0.004882106,1,0,16
9,Chipboard[纤维板],7,4000000000,2.58,0.063983284,1,0,18
10,Plywood[胶合板],8,4000000000,2.71,0.33,1,0,19
11,Marble[大理石],9,4000000000,7.074,0.019860522,1,0,20
13,Metal[金属],10,4000000000,1,10000000,1,0,22
14,Very dry ground[非常干燥的地面],11,4000000000,3,0.004934946,1,0,23
15,Medium dry ground[中等干燥的地面],12,4000000000,13.05825845,0.335294037,1,0,24
16,Wet ground[潮湿地面],55,4000000000,17.23047532,0.90942994,1,0,25
